analysis_group,column_name,final_manual_action,manual_note,encoding_decision,feature_behavior,feature_group,feature_role,feature_type,indicator_decision,missing_decision,modeling_treatment,outlier_decision,rare_decision,review_decision,scaling_decision,transformation_decision,unknown_handling_decision,zero_value_decision
numeric,LotFrontage,keep + impute,Moderate missingness; median imputation is safer than mean.,,continuous numeric feature with missing values,,,,create LotFrontage_missing,median imputation + missing indicator,use as numeric feature,review only if model is sensitive,,,standard/robust scaling if needed,optional,,keep zero as valid value
numeric,MasVnrArea,keep + binary indicator,Missing and zero values likely represent absence of masonry veneer.,,zero-heavy numeric feature,,,,create HasMasVnr,fill missing with 0,use as numeric feature,review only if model is sensitive,,,standard/robust scaling if needed,consider log1p,,zero likely means no masonry veneer
numeric,LotArea,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.,,right-skewed numeric feature,,,,no indicator needed,no missing handling needed,important numeric predictor,inspect high values with SalePrice before removal,,,robust scaling if using linear models,consider log1p,,keep zero as valid value
numeric,BsmtFinSF1,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.,,right-skewed numeric feature,,,,no indicator needed,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,keep zero as valid value
numeric,BsmtFinSF2,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.,,zero-heavy numeric feature,,,,create HasBsmtFinSF2,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,BsmtUnfSF,keep,Feature can be used with normal numeric preprocessing.,,regular numeric,,,,no indicator needed,no missing handling needed,use as numeric feature,review only if model is sensitive,,,standard/robust scaling if needed,no transformation,,keep zero as valid value
numeric,TotalBsmtSF,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.,,right-skewed numeric feature,,,,no indicator needed,no missing handling needed,important numeric predictor,inspect high values with SalePrice before removal,,,robust scaling if using linear models,consider log1p,,keep zero as valid value
numeric,1stFlrSF,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.,,right-skewed numeric feature,,,,no indicator needed,no missing handling needed,important numeric predictor,inspect high values with SalePrice before removal,,,robust scaling if using linear models,consider log1p,,keep zero as valid value
numeric,2ndFlrSF,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.,,zero-heavy numeric feature,,,,create Has2ndFloor,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,LowQualFinSF,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.,,rare/sparse numeric feature,,,,create HasLowQualFinSF,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,GrLivArea,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.,,right-skewed numeric feature,,,,no indicator needed,no missing handling needed,important numeric predictor,inspect high values with SalePrice before removal,,,robust scaling if using linear models,consider log1p,,keep zero as valid value
numeric,BsmtFullBath,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,BsmtHalfBath,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,FullBath,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,HalfBath,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,BedroomAbvGr,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,KitchenAbvGr,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,TotRmsAbvGrd,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,Fireplaces,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,GarageCars,keep,Low-cardinality count feature; numeric order has real meaning.,,discrete count feature,,,,no indicator needed,no missing handling needed,keep as numeric count,review only if model is sensitive,,,scaling optional,no log transform,,keep zero as valid value
numeric,GarageArea,keep; transform if needed,Feature can be used with normal numeric preprocessing.,,regular numeric,,,,no indicator needed,no missing handling needed,important numeric predictor,inspect high values with SalePrice before removal,,,standard/robust scaling if needed,no transformation,,keep zero as valid value
numeric,WoodDeckSF,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.,,zero-heavy numeric feature,,,,create HasWoodDeck,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,OpenPorchSF,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.,,zero-heavy numeric feature,,,,create HasOpenPorch,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,EnclosedPorch,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.,,zero-heavy numeric feature,,,,create HasEnclosedPorch,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,3SsnPorch,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.,,rare/sparse numeric feature,,,,create Has3SsnPorch,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,ScreenPorch,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.,,zero-heavy numeric feature,,,,create HasScreenPorch,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,PoolArea,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.,,rare/sparse numeric feature,,,,create HasPool,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
numeric,MiscVal,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.,,rare/sparse numeric feature,,,,create HasMiscVal,no missing handling needed,use as numeric feature,check upper-tail outliers before capping,,,robust scaling if using linear models,consider log1p,,zero is valid absence signal
time,YearBuilt,prefer engineered feature,"Raw build year is useful, but HouseAge is more interpretable for modeling.",,,raw_year,,year-like,,,optional / replace with HouseAge,,,,,,,
time,YearRemodAdd,prefer engineered feature,"Raw remodel year is useful, but RemodAge and IsRemodeled are more meaningful.",,,raw_year,,year-like,,,optional / replace with RemodAge,,,,,,,
time,GarageYrBlt,replace with engineered features,"Missing values likely mean no garage, so GarageAge should be paired with garage presence indicator.",,,raw_year,,year-like with missing,,,use GarageAge + HasGarageYrBlt,,,,,,,
time,YrSold,keep,Sale year has weak time signal and is needed for age feature creation.,,,sale_time,,sale year,,,keep as supporting time feature,,,,,,,
