column_name,feature_behavior,missing_decision,zero_value_decision,transformation_decision,indicator_decision,outlier_decision,scaling_decision,modeling_treatment,final_manual_action,manual_note
LotFrontage,continuous numeric feature with missing values,median imputation + missing indicator,keep zero as valid value,optional,create LotFrontage_missing,review only if model is sensitive,standard/robust scaling if needed,use as numeric feature,keep + impute,Moderate missingness; median imputation is safer than mean.
MasVnrArea,zero-heavy numeric feature,fill missing with 0,zero likely means no masonry veneer,consider log1p,create HasMasVnr,review only if model is sensitive,standard/robust scaling if needed,use as numeric feature,keep + binary indicator,Missing and zero values likely represent absence of masonry veneer.
LotArea,right-skewed numeric feature,no missing handling needed,keep zero as valid value,consider log1p,no indicator needed,inspect high values with SalePrice before removal,robust scaling if using linear models,important numeric predictor,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.
BsmtFinSF1,right-skewed numeric feature,no missing handling needed,keep zero as valid value,consider log1p,no indicator needed,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.
BsmtFinSF2,zero-heavy numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasBsmtFinSF2,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.
BsmtUnfSF,regular numeric,no missing handling needed,keep zero as valid value,no transformation,no indicator needed,review only if model is sensitive,standard/robust scaling if needed,use as numeric feature,keep,Feature can be used with normal numeric preprocessing.
TotalBsmtSF,right-skewed numeric feature,no missing handling needed,keep zero as valid value,consider log1p,no indicator needed,inspect high values with SalePrice before removal,robust scaling if using linear models,important numeric predictor,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.
1stFlrSF,right-skewed numeric feature,no missing handling needed,keep zero as valid value,consider log1p,no indicator needed,inspect high values with SalePrice before removal,robust scaling if using linear models,important numeric predictor,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.
2ndFlrSF,zero-heavy numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create Has2ndFloor,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.
LowQualFinSF,rare/sparse numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasLowQualFinSF,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.
