column_name,feature_role,missing_decision,rare_decision,encoding_decision,unknown_handling_decision,review_decision,final_manual_action,manual_note
MSSubClass,nominal categorical feature,no missing handling needed,rare grouping recommended/review,rare grouping + one-hot encoding,handle unseen class safely,minor unseen test category exists,keep + safe unknown handling,"Feature has no natural order, so avoid label encoding."
MSZoning,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
Street,nominal categorical feature,no missing handling needed,no rare grouping needed,binary 0/1 encoding or one-hot encoding,OneHotEncoder(handle_unknown='ignore'),review with SalePrice before dropping,keep but review,High dominance or rare/absence behavior may still carry important price signal.
Alley,nominal categorical feature,fill missing with 'None',no rare grouping needed,binary 0/1 encoding or one-hot encoding,OneHotEncoder(handle_unknown='ignore'),keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
LotShape,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
LandContour,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
Utilities,nominal categorical feature,no missing handling needed,no rare grouping needed,binary 0/1 encoding or one-hot encoding,OneHotEncoder(handle_unknown='ignore'),review with SalePrice before dropping,keep but review,High dominance or rare/absence behavior may still carry important price signal.
LotConfig,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
LandSlope,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
Neighborhood,nominal categorical feature,no missing handling needed,rare grouping recommended/review,rare grouping + one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep + rare grouping,Neighborhood is likely an important location signal; keep and group rare labels if needed.
Condition1,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
Condition2,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),review with SalePrice before dropping,keep but review,High dominance or rare/absence behavior may still carry important price signal.
BldgType,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
HouseStyle,nominal categorical feature,no missing handling needed,rare grouping recommended/review,rare grouping + one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
OverallQual,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,Numeric-looking but ordinal quality/condition feature; keep as ordered categorical signal.
OverallCond,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,Numeric-looking but ordinal quality/condition feature; keep as ordered categorical signal.
RoofStyle,nominal categorical feature,no missing handling needed,rare grouping recommended/review,rare grouping + one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
RoofMatl,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),review with SalePrice before dropping,keep but review,High dominance or rare/absence behavior may still carry important price signal.
Exterior1st,nominal categorical feature,no missing handling needed,rare grouping recommended/review,rare grouping + one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
Exterior2nd,nominal categorical feature,no missing handling needed,rare grouping recommended/review,rare grouping + one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
MasVnrType,nominal categorical feature,fill missing with 'None',no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),review with SalePrice before dropping,keep but review,High dominance or rare/absence behavior may still carry important price signal.
ExterQual,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
ExterCond,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
Foundation,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
BsmtQual,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
BsmtCond,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
BsmtExposure,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
BsmtFinType1,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
BsmtFinType2,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
Heating,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),review with SalePrice before dropping,keep but review,High dominance or rare/absence behavior may still carry important price signal.
HeatingQC,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
